Participant,Gender,Ethnicity,Age,Ceiling,avgPlan1,avgPlan2,avgPlanall,SAT,Pred4Time,Pred9Time,PredDiff,RankDiff1,RankDiff2,RankDiffall,avgSD1,avgSD2,avgSDall,AvgPredAcc1,AvgPredAcc2,AvgPredAcc,PuzzScor1,PuzzScor2,PuzzAcc,Clicks,CJTime,CJPuzzles,StrategyNo,ImproveNo,RefTimeAcc,RefPuzzAcc
28,Male,black caribbean,25,N,0.24245897,0.285734168,0.264096569,10,311,715,404,3.9,3.8,3.85,2.135267775,4.452426628,3.293847202,0.431817474,0.110665487,0.27124148,10,9,19,95,8,,2,2,0.07124148,
29,Female,Bulgarian ,25,N,0.231029786,0.209541663,0.220285725,10,321,735,414,4.1,4.7,4.4,2.013053507,4.526063409,3.269558458,0.320411645,0.160451816,0.240431731,10,9,19,143,6,,2,2,0.163488882,
30,Male,Italian,24,N,0.180175925,0.216077543,0.198126734,10,308,677,369,5.8,3.7,4.75,2.404914562,4.897368121,3.651141342,0.515517648,0.183422981,0.349470314,10,9,19,154,6,,2,1,0.107963126,
31,Female,Australian,25,N,0.119397414,0.154700924,0.137049169,10,343,799,456,4.3,4.3,4.3,1.391012651,4.708689866,3.049851258,0.349015828,0.127214722,0.238115275,8,8,16,301,8,,2,1,0.028102335,
32,Male,UK ,25,N,0.22393807,0.240812542,0.232375306,9,376,688,312,6.1,5.4,5.75,9.433356749,4.847912525,7.140634637,1.074345631,0.174806766,0.624576199,6,7,13,133,6,,2,1,0.082243428,
33,Female,American,24,Y,0.157083468,0.166353841,0.161718654,9,324,752,428,3,4.4,3.777777778,2.080916933,4.93400309,3.507460011,0.26409528,0.241985658,0.251812157,10,10,20,164,7,,2,1,0.048187843,
34,Female,American,23,N,0.304360311,0.317889732,0.311125021,10,265,740,475,3.4,5.3,4.35,2.229648171,4.323100015,3.276374093,0.279498266,0.288887549,0.284192907,7,6,13,100,8,,2,2,0.084192907,
35,Female,American,25,N,0.228516092,0.200508194,0.214512143,10,410,1025,615,4.4,5.1,4.75,20.83288147,5.582502765,13.20769211,1.13015304,0.147034089,0.638593565,3,8,11,81,4,,2,0,0.207854399,
36,Female,Canadien,25,N,0.216087761,0.298532613,0.257310187,10,195,591,396,3.7,4.8,4.25,1.018075688,2.903283104,1.960679396,0.2817347,0.257651222,0.269692961,9,9,18,134,5,,2,2,0.230307039,
37,Female,Scottish,24,N,0.297298749,0.201161684,0.249230216,10,258,502,244,5.3,4.2,4.75,0.999588696,3.15935653,2.079472613,0.412266973,0.198561755,0.305414364,8,9,17,79,6,,2,1,0.094585636,
38,Male,Bulgarian ,20,N,0.21353584,0.278551935,0.246043888,10,184,441,257,4.5,4.3,4.4,1.051944727,2.767456398,1.909700563,0.32252259,0.162643066,0.242582828,9,7,16,124,8,,2,1,0.042582828,
39,Female,Scottish,21,N,0.246545927,0.270310166,0.258428047,10,226,420,194,5.8,3.8,4.8,0.919191071,2.711988022,1.815589547,0.490537037,0.157702734,0.324119885,10,5,15,94,6,,2,2,0.075880115,
40,Male,Scottish,18,N,0.174753227,0.103072199,0.138912713,10,661,1027,366,2.5,2.2,2.35,2.606499509,6.6064383,4.606468905,0.376420874,0.200785198,0.288603036,10,9,19,82,7,,2,2,0.011396964,
41,Male,German,22,N,0.238637843,0.20175816,0.220198001,6,314,586,272,2.8,5.8,4.3,1.499388067,4.121699033,2.81054355,0.331957889,0.151897177,0.241927533,9,9,18,99,7,,2,1,0.058072467,
42,Female,European,25,N,0.134988824,0.108341088,0.121664956,10,589,900,311,4.3,3.3,3.8,2.238912842,5.997581502,4.118247172,0.320509955,0.365796388,0.343153172,8,9,17,110,4,,2,1,0.256846828,
