ID,Guessed,Random,GTD,feedback,smaller,red_white,bothgf,bothsrw,atleastgf,atleastrsw,best,none,GTD2, feedback2,smaller2,red_white2,bothgf2,bothsrw2,atleastgf2,atleastsrw2,StratNo,PuzzAcc,SAT,RankAcc,PAAcc,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,AvgPredNoZ,RefTimeAccNoZ
22AP54,N,N,N,N,Y,N,N,M,N,Y,N,N,Y,N,Y,N,M,M,Y,Y,2,11,10,3.1,0.290924044,3,0,0.409075956,0.55,0.290924044,0.409075956
22AQ56,N,N,Y,N,N,N,M,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2,16,8,4,0.422961825,7,10,0.122961825,0.2,0.422961825,0.122961825
22AR58,N,N,Y,N,Y,N,M,M,Y,Y,N,N,N,N,N,Y,N,M,N,Y,3,16,10,3.65,0.170307865,6,4,0.229692135,0.4,0.170307865,0.229692135
22AS62,N,N,Y,N,N,N,M,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2,10,9,4.1,0.376941451,6,7,0.023058549,0.2,0.376941451,0.023058549
22AT64,N,N,Y,N,N,N,M,N,Y,N,N,N,N,N,N,Y,N,M,N,Y,2,19,10,3.35,0.220954832,7,8,0.079045168,0.15,0.220954832,0.079045168
22AU66,N,N,Y,N,Y,N,M,M,Y,Y,N,N,N,N,Y,Y,N,H,N,Y,3,10,2,6.5,0.534479168,8,6,0.334479168,0.1,0.534479168,0.334479168
22AV68,N,Y,Y,Y,Y,N,H,M,Y,Y,N,N,N,N,N,Y,N,M,N,Y,4,11,8,4.55,0.428377372,5,5,0.071622628,0.05,0.428377372,0.071622628
22AW72,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,M,N,Y,N,1,10,7,5.15,0.770369128,5,7,0.270369128,0.2,0.770369128,0.270369128
22AX74,N,N,N,N,Y,Y,N,H,N,Y,Y,N,N,N,Y,Y,N,H,N,Y,3,4,1,8.4,0.405020719,6,5,0.005020719,0.3,0.405020719,0.005020719
22AY76,N,N,Y,N,Y,Y,M,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,4,12,10,4.7,0.228811166,7,6,0.071188834,0,0.228811166,0.071188834
22AZ78,N,N,Y,Y,Y,Y,H,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,5,20,10,3.7,0.161037103,8,5,0.038962897,0.5,0.161037103,0.038962897
22BB22,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,1,1,8,5.85,0.392875471,3,4,0.307124529,0.35,0.392875471,0.307124529
22BB24,N,N,Y,N,Y,Y,M,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,4,13,9,3.1,0.302504595,9,9,0.202504595,0.25,0.302504595,0.202504595
