Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19,34.23038319,104.2362018,24.64126951,72.75462297,47.98014072,74.31273895,27.0366362,110.4353834,18.80496118,47.77863298,15.52687008,110.2441538,17.26210123,50.76311896,18.94968512,35.07300741,22.76201888,49.2532502,46.32264993,61.83462881,990.2024553,7,24,8,18,9,15,8,24,4,13,4,34,6,13,9,9,5,15,10,14,249
17,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,10,64.54455533,90.59351121,90.47290132,120,99.13936676,120,45.9702428,120,38.6268565,120,35.58918833,120,45.88088768,120,23.25792251,120,67.37390908,120,113.1396821,120,1794.589024,12,21,20,23,24,28,10,15,10,12,4,18,13,20,5,17,6,13,17,18,306
18,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,15,22.91495543,60.35654703,28.68797225,120,63.85467857,78.01778326,27.19416499,120,25.44081996,81.91238764,25.07571393,118.8675707,25.95057561,82.93781643,31.87854821,86.80249231,88.00993806,44.75639149,65.42659727,82.47534705,1280.5603,6,19,5,23,18,19,6,22,6,14,5,18,6,10,5,16,9,11,14,18,250
19,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,17,18.3053645,55.78151847,24.25876833,57.72224293,26.20037033,64.25182215,21.85513518,61.90408639,18.11914871,44.07608885,23.28548095,52.59033553,19.54131854,40.95579993,22.76964107,39.98362897,20.58440873,41.32780743,82.58960868,44.33792928,780.440505,5,16,6,12,5,14,7,13,6,10,8,10,6,10,5,12,5,10,24,12,196
20,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,14,49.50514631,88.17911887,46.7245003,120,46.41471936,120,25.54907169,120,31.39512036,120,46.54291907,120,19.0761814,120,21.82334115,78.88803234,59.06330139,91.52836421,86.11367144,85.22236125,1496.025849,12,22,6,22,7,27,4,15,5,20,6,17,4,20,5,14,9,15,17,15,262
21,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,9,52.79248007,73.90324408,72.01670044,120,57.63300732,120,47.2831345,120,49.91166824,120,101.6222836,120,31.58582135,120,22.02225871,120,56.47626565,120,120,120,1765.246864,10,17,10,18,6,19,11,12,12,14,9,13,6,31,6,12,16,14,39,29,304
22,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,11,36.4161992,88.11139896,32.64245739,111.2376476,36.995156,120,30.96670502,94.26758312,30.80367636,105.7038852,73.19566443,118.799319,24.36853317,53.03945647,22.72856332,58.21762595,26.39793728,120,68.37063956,97.7596894,1350.022137,9,25,6,21,12,25,8,25,9,25,20,24,7,13,8,15,6,26,17,25,326
23,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,16,20.81632684,58.44516617,25.81483021,120,35.33496573,86.45273005,39.17564507,93.84379904,42.57878931,57.08824918,22.31068321,75.51236216,20.98732946,90.25322793,22.40704118,67.10611689,45.0540244,55.12051453,64.24097914,88.3953065,1130.938087,7,11,8,25,6,20,8,17,12,12,4,17,4,47,6,17,10,15,13,23,282
24,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,16,23.18343662,65.70044918,21.30016011,61.47319354,27.29040913,63.37655005,30.08022203,65.03339482,22.40281067,46.31423212,21.19536631,65.37220711,25.40106864,57.66855052,23.38390679,44.35870614,22.68739515,62.74948961,57.80944363,71.68537646,878.4663686,6,15,4,13,5,14,8,14,6,9,5,18,7,15,9,13,7,16,12,14,210
25,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,10,26.63274513,92.75177889,102.6983983,120,40.4763277,120,29.86998921,120,20.40154357,111.253994,58.62053739,68.11182537,22.57254945,117.2873515,26.27436136,80.27525057,44.61683126,104.5325187,93.22189145,120,1519.597894,9,17,26,20,9,22,8,19,4,18,8,10,6,22,5,16,10,21,11,20,281
