Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
50,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,20.24895522,120,38.97024442,112.8468648,29.31440293,69.81916456,24.84945567,75.88592342,18.95772785,56.31337323,21.00985913,45.89329273,43.5423953,41.46853489,42.10508263,44.86145505,43.79011463,41.10408776,40.72408815,70.51785664,1002.222879,11,53,12,24,8,21,10,17,10,10,6,13,15,12,11,13,14,13,15,24,312
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19,22.38838079,77.18748997,17.160395,67.75454273,19.65911401,86.6786418,14.94352642,115.9666105,17.90816702,90.45829441,26.08424746,78.9051572,74.62747289,72.14244832,71.86978598,73.5026811,63.29434969,120,60.89108988,62.42319159,1233.845587,6,20,5,15,5,19,7,29,6,20,6,19,21,25,14,20,20,24,19,20,320
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,18.89145552,63.63754545,18.86247384,81.95534846,17.42301511,47.91286088,17.74800383,52.12774794,13.61907999,47.00233034,13.88616848,36.61470543,32.26702847,48.13424011,35.89324783,38.20310536,40.01403522,74.21118209,28.81240028,59.29883592,786.5148106,5,14,5,23,7,12,7,16,6,14,6,14,12,19,11,14,16,25,10,23,259
53,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,19.90690704,69.02006862,32.25535583,120,19.22171427,61.72292232,16.2124436,120,25.4419336,99.44601195,15.00868259,67.37984685,61.14908862,52.42642723,45.38041161,57.52343869,69.76375556,82.53474853,41.45960914,67.50400231,1143.357368,6,21,8,31,6,10,4,30,5,15,4,14,19,14,12,12,15,14,11,17,268
54,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,13,15.7558089,120,79.85459453,96.9887215,36.7499137,120,77.3832523,120,32.58681237,75.60081766,19.42938232,63.92744794,120,100.6935514,69.51176801,83.15259814,120,120,94.35379185,87.94451808,1653.932979,5,30,25,26,10,37,23,30,6,19,5,20,27,20,19,23,41,42,25,28,461
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,21.04275954,44.53962549,26.71162244,45.98587883,14.87799189,50.20905868,14.3949187,43.0800352,13.05055973,50.10720758,16.22435769,52.51648332,33.82400891,54.57991757,33.47335931,37.72890786,31.71454601,51.40474436,44.77899224,38.089951,718.3349263,10,13,9,16,6,17,4,14,4,15,6,15,10,16,10,12,10,16,14,14,231
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,22.33916635,53.38261784,19.9461748,46.535683,29.02075763,48.84570652,15.15981281,32.12526302,14.67738832,36.38058036,17.85204252,40.83463692,37.71331005,41.73186704,27.88888308,36.3157105,28.28989206,31.82605641,28.9868181,27.97167504,637.8240424,5,11,5,10,7,12,4,9,4,10,5,14,12,12,9,10,9,12,10,12,182
57,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,37.9807201,120,34.05246198,94.57289468,21.61179971,84.07239456,22.45267593,102.2196936,16.83733524,94.96300868,17.74964777,68.81863291,53.53842963,59.27810762,50.22520663,55.15987909,69.13033643,59.8468217,56.16219449,54.41636482,1173.088606,11,28,14,21,4,18,9,28,6,20,4,14,16,12,13,15,18,18,19,15,303
58,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,15,21.17416562,77.71840501,26.55903238,76.36968467,23.77546076,79.60337709,19.85737731,110.6299746,13.80500858,72.78668748,19.05781744,58.849362,60.38768306,32.12142341,35.32763103,41.41082878,46.29959307,36.15575889,35.89502396,33.42535225,921.2096474,8,18,8,23,8,27,11,30,6,20,5,15,14,11,11,12,15,12,9,14,277
59,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11,46.20328001,120,45.58451335,103.6664734,29.76752624,120,30.93001775,120,23.45445147,120,87.40139689,120,82.71499651,120,64.21069601,120,99.364761,120,117.1729796,120,1810.471092,9,27,11,16,7,24,8,18,7,29,19,18,18,21,13,22,17,22,23,26,355
60,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,26.89532916,89.91959422,34.66482376,84.30000292,22.53241249,59.39105423,17.24847058,54.40579843,16.89852385,60.75741356,18.44948278,42.42656598,47.72928466,48.52212784,38.12941483,46.65718846,45.27844688,42.14043921,43.31258695,44.52070708,884.1796679,8,18,16,21,5,16,9,16,6,19,9,13,14,15,12,10,10,12,14,15,258
61,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,16,30.84414233,51.92318508,21.86458596,81.16995947,23.96254092,60.78962739,17.44889527,77.54815901,12.98356131,56.57133568,17.58295401,40.27307739,44.84521951,43.32417282,35.46068682,62.28745122,43.04385639,60.22653254,46.39546488,52.67140747,881.2168155,7,13,4,14,6,15,8,17,4,12,7,12,15,16,13,25,12,18,12,15,245
62,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18,16.09778623,53.15672217,15.86458917,46.67545411,17.06717837,66.38136756,20.04722907,42.67366769,14.19819998,56.45437258,16.28336769,33.00583306,49.21252633,52.95568297,44.29515731,42.05398309,39.92782676,46.89194015,37.09408026,41.64385376,751.9808183,5,17,6,13,4,19,7,14,6,14,5,11,21,15,14,15,15,12,12,12,237
