Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,16.50286614,120,18.77554952,51.9835888,20.41741005,59.03851036,21.91563886,43.41497148,13.81473262,46.23601721,18.6094664,51.48538891,22.20746731,52.87621316,19.61044705,48.46324403,12.10415517,46.90626529,16.39828176,45.0751504,745.8353645,5,33,8,19,8,16,6,12,5,16,7,16,9,17,8,16,4,13,6,16,240
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20.25297473,39.66851678,27.77452734,35.56844377,20.65174728,47.60454356,17.2205848,38.50730939,12.11310559,60.4186011,16.31019536,43.50162563,14.92690981,48.79219118,12.91152824,56.12275114,13.15614878,41.65494069,14.90712045,33.49712966,615.5608953,6,14,10,15,5,15,5,14,5,22,8,12,6,14,4,19,4,13,4,15,210
13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,26.71895077,50.84223609,23.60217217,44.68534039,24.66048309,79.0034794,27.18315352,80.34458065,14.34803858,38.24476982,14.25578465,48.7612713,16.16713141,33.0538672,14.21254505,41.76698539,16.20642881,58.35012398,24.10074529,38.70634787,715.2144354,6,11,6,12,4,17,6,14,4,11,4,10,5,9,4,10,5,14,4,12,168
14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,16,22.7114692,117.7524961,66.47681216,50.20381552,19.18303263,103.5474083,20.91726173,52.28814201,18.96732646,56.1218388,13.31931618,66.00103839,13.36630488,43.42405121,11.80344039,41.47460322,12.78138269,28.59546168,14.76799428,30.47614107,804.1793368,8,38,24,18,6,17,6,14,6,14,5,15,4,9,5,13,7,9,5,12,235
15,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,18,14.91907202,59.93595696,24.75029449,41.77376319,31.53240808,93.28635488,23.75031823,120,16.83483948,48.34110982,17.03518973,59.63846073,15.62066568,67.41965651,13.35137989,61.32375203,17.32063546,50.66799157,18.81674963,41.12465257,837.443251,4,21,9,12,7,24,7,41,4,11,7,11,6,15,5,14,5,10,6,14,233
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,18,26.63074679,120,24.46580795,89.85364216,25.35121692,59.40562316,19.23161757,52.8947609,16.12239704,42.45842316,17.30117996,45.625691,14.08529823,49.7255195,14.00133709,42.57578461,18.99963461,47.62590369,18.40025394,39.29288923,784.0477275,8,38,5,23,5,11,5,11,5,10,5,9,5,11,4,12,5,13,4,11,200
17,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18,18.68049824,41.10905051,21.00139098,54.35730729,23.4000358,82.95628888,19.60029462,42.32655902,15.66817378,68.22041976,14.23337074,120,16.78439415,66.5913886,15.40051507,69.45782968,15.93303448,40.84344652,15.23450444,54.32224588,816.1207484,7,14,6,16,5,25,7,9,6,17,4,34,7,19,4,17,6,10,4,15,232
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,18,12.45051129,58.42336303,21.01739758,30.99356413,18.04922213,43.26146664,13.8847478,31.79439603,12.23476365,28.47951217,13.46917313,28.84145244,14.66893472,24.81064321,14.96839616,30.27782002,12.63514206,24.17849902,12.73426609,28.79293126,475.9662025,5,19,7,14,7,15,5,11,6,11,9,13,7,9,7,13,6,11,6,15,196
19,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,17,20.89854179,74.31611044,18.79972458,38.0406527,22.7990766,50.20470382,16.41796097,49.22216527,17.01664249,69.03406159,15.40028011,40.42233259,11.63336447,63.59018401,15.19932687,49.93802845,16.99878616,41.22799708,17.11769042,54.66850806,702.9461385,5,12,4,12,4,9,4,13,5,14,4,11,5,15,7,13,4,9,4,14,168
20,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,22.11472319,85.5982058,24.64860194,98.62908748,26.6638548,52.43919032,21.4656914,63.26914379,12.86536523,51.69011145,13.5558382,41.96530262,28.18060218,54.89096652,16.50101977,47.55467344,15.50221757,46.5195584,15.51560765,34.27535188,773.8451136,4,18,5,27,4,9,4,16,4,9,5,9,9,14,5,10,4,13,4,11,184
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,13.23155423,45.14000979,22.18353734,47.00388788,30.3141094,50.47041813,18.66602553,49.72070827,13.10288954,34.15686271,14.24796319,27.33126482,12.001576,28.18952923,11.69833533,41.4079715,12.36653929,27.32439592,11.21624427,25.79496096,535.5687834,4,13,8,16,11,10,4,13,4,10,5,9,6,9,4,10,4,9,4,12,165
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,18.09829915,46.3243648,19.65087949,48.45495291,18.78183521,82.1031699,18.19819932,42.32571048,18.49973407,48.43911397,13.33316706,57.822,12.74860636,58.38803554,13.50000449,34.49343103,14.71737086,43.47326603,27.26556546,35.20510448,671.8228106,6,11,6,12,6,17,4,11,7,15,4,12,5,9,5,9,4,12,10,12,177
23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,18,21.8121778,67.82848824,19.03830091,88.92195007,19.43195999,70.86306202,24.52105787,87.47689872,15.54952008,68.3764515,20.9777828,58.24111372,31.94911298,44.99166913,22.27996607,56.12230426,13.82438462,44.75054281,22.58798054,50.43707178,849.9817959,8,17,5,28,5,22,9,21,5,18,7,12,7,11,7,16,4,12,7,18,239
24,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,18,15.30419497,120,21.3090707,51.03123154,22.68970839,80.36879244,16.68812358,63.05738581,13.19797021,60.05934432,17.21068882,52.01720758,13.75978762,47.16176357,19.6613115,58.33045514,15.55422646,32.89389421,20.45092173,54.51339041,795.259469,4,35,8,14,7,17,4,13,4,19,7,13,6,14,7,12,6,10,4,16,220
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,24.18304502,57.20424251,27.16684455,53.49411133,24.46632855,57.39412047,19.96927136,66.76730938,19.33660256,48.06959456,17.99938536,36.50973822,15.25235407,41.22242261,17.33370289,44.94145586,18.76447451,44.8604811,26.95206007,35.60491009,697.4924551,4,10,6,12,5,9,4,10,5,10,4,10,5,9,5,9,4,10,5,12,148
26,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,17,37.73301612,73.22658171,23.78731443,60.04064337,26.96125169,65.39313983,26.32271257,69.93666403,15.04276982,44.17169138,20.62630757,46.54495273,15.76162015,45.06119132,23.01510818,39.00364922,20.06883965,54.85645685,22.83907479,76.92643951,807.3194249,8,17,4,14,4,14,5,15,4,10,8,9,6,15,10,10,7,14,8,21,203
27,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,12,23.37068656,48.36527805,19.74645272,34.77639057,16.53599251,49.85459632,16.15869985,48.38081218,13.26868485,46.44201003,20.35455014,55.57169483,18.10950961,44.70517254,17.44795831,46.14031008,16.78665102,41.0567392,16.21303594,30.77908806,624.0643134,8,20,9,14,6,19,5,16,5,15,8,16,6,12,5,16,5,13,5,11,214
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,27.07127168,66.02294033,35.87537334,73.47006448,27.82687217,90.04697234,26.66433323,83.87713264,30.32669582,67.20017644,26.82165307,67.21922169,25.80677116,76.25919185,28.51299059,82.68000685,26.99749052,74.74117764,34.69886269,72.5901961,1044.709395,6,12,6,16,5,12,4,16,6,12,4,10,5,11,5,12,5,11,6,13,177
29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19,26.07946213,120,30.16807762,83.55716514,29.10059231,75.14539295,25.09264166,73.11683557,19.41471928,67.76870865,19.32837674,56.35705495,22.03380867,72.13442617,21.89467005,52.41402928,14.13128128,40.39343421,20.7912389,50.25907242,919.180988,4,25,5,23,7,19,6,20,6,28,9,22,11,30,11,19,5,18,10,24,302
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,33.42333287,120,34.93860061,97.39403044,40.43239526,66.15918178,27.97113331,61.56479995,19.97197587,57.05227449,18.38799631,46.53480378,20.9665277,79.13659181,17.66607199,46.05880314,22.04629261,56.39467425,21.57422717,45.19784938,932.8715627,11,43,8,24,6,16,9,14,6,17,5,13,9,16,7,15,7,13,7,14,260
31,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,16,31.33444912,99.14583195,29.01000805,120,54.6022401,90.96162538,25.59582342,109.1154854,24.11815772,74.47294206,23.43877649,45.87246218,26.60687184,71.61966602,22.43284407,59.97087578,20.98423727,60.80713925,26.33452517,73.44199743,1089.865959,11,37,15,67,18,38,11,53,14,37,13,21,16,25,11,29,11,22,15,24,488
32,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,13,29.79765418,120,120,123.2692046,27.79329164,97.50774817,27.32192133,57.63274292,17.60950448,62.99727638,23.03564914,50.66146592,21.27238399,66.72381984,16.36898511,43.23106928,18.54323495,55.45950546,23.84617588,70.7650487,1073.836682,6,17,7,35,5,21,5,14,5,18,6,12,7,16,6,9,6,14,6,16,231
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,31.76236601,120,31.13073572,108.5935086,42.7808178,96.11420976,25.98481299,84.30916404,20.78795201,66.44742444,23.20472578,59.55398402,18.7393394,66.45242006,19.9975633,60.76510268,21.02614677,70.87066808,33.07714755,58.23339089,1059.83148,5,25,9,32,11,26,7,19,8,22,9,15,9,18,7,17,9,17,8,21,294
34,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,13,18.35684358,69.04252437,39.00363288,71.91039512,28.22114676,98.22804164,34.15727857,82.14375755,17.21887709,65.08089007,18.55215848,45.62508485,15.80701729,58.16341206,19.40658985,54.12453504,16.50508356,44.62832678,40.27932607,50.86469554,887.3196171,4,14,8,13,5,17,7,15,4,13,4,10,4,11,6,12,4,10,12,12,185
35,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,11,42.93120383,79.88550332,120,120,120,120,120,112.5440254,27.89452278,3.837087125,27.31334929,84.28179869,29.55496187,88.69592256,26.17383718,98.46257133,31.27087251,81.60075849,38.2757557,96.47479026,1469.19696,4,10,5,11,7,22,5,12,4,1,4,11,5,9,4,14,4,10,5,12,159
36,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,18,13.32440469,52.07699126,18.72742045,50.9670358,21.54500561,80.02198111,13.04319197,41.98138585,12.24513536,53.89361071,14.54922166,38.45872384,13.77871934,42.42262408,16.03688446,44.94623922,11.77914948,43.54308304,16.94483869,40.66513193,640.9507786,4,21,7,21,9,28,5,14,5,20,5,18,7,17,8,20,4,11,6,19,249
