Participant,Age,IPT,TotalTime,avgPlanall,PlanAccGam,SAT,RankDiffall,Pred4Time,Pred9Time,AvgPredAcc,MonFail,PrAccNFail,CJT,CJP,RefTimeAcc,RefPuzzAcc,StratUsed,StratImp,PuzzAcc,Plan1,Plan2,Plan3,Plan4,MonCon1,MonCon2,MonCon3,MonCon4,Eval1,Eval2,Eval3,Know1,Know2,Evalb,Evalc
71,10,426.9431008,1373.482467,0.303047056,-0.3333333,0,7,1080,1075,6.294285519,Y,0.418251474,2,2,5.494285519,0.15,1,2,1,0.303047056,-0.3333333,0,0.3,-0.005294286,0.9,0.581748526,0.1578947,-0.004494286,0.85,0.618251474,1,2,0.004494286,0.85
72,11,241.1551186,797.2175135,0.251183253,0.75,10,4,224,664,0.302739961,N,0.302739961,7,8,0.002739961,0.1,2,2,18,0.251183253,0.75,1,0.6,0.697260039,1,0.697260039,-0.5,0.997260039,0.9,0.997260039,2,2,0.997260039,0.9
74,10,216.0752857,1294.72085,0.157701734,1,3,6.4,1038,1134,0.431264811,N,0.431264811,6,6,0.031264811,0.15,2,1,15,0.157701734,1,0.3,0.36,0.568735189,1,0.568735189,0.8133333,0.968735189,0.85,0.968735189,2,1,0.968735189,0.85
75,10,302.922837,1501.754275,0.179642368,0.12,10,4,708,1105,0.312186409,N,0.312186409,4,5,0.287813591,0.25,2,1,15,0.179642368,0.12,1,0.6,0.687813591,1,0.687813591,0.8666667,0.712186409,0.75,0.712186409,2,1,0.712186409,0.75
76,10,479.111924,1487.731622,0.295195474,-0.3043478,7,3.75,542,774,0.481624579,N,0.481624579,5,4,0.018375421,0.05,2,2,9,0.295195474,-0.3043478,0.7,0.625,0.518375421,1,0.518375421,-0.01010101,0.981624579,0.95,0.981624579,2,2,0.981624579,0.95
77,10,757.722469,1445.434055,0.355879808,0.3103448,10,2.9,433,1008,0.267333318,N,0.267333318,7,6,0.032666682,0.1,2,1,14,0.355879808,0.3103448,1,0.71,0.732666682,1,0.732666682,0.3571429,0.967333318,0.9,0.967333318,2,1,0.967333318,0.9
78,12,200.0561014,713.8368654,0.232487694,-0.3333333,9,3.2,365,691,0.308222148,N,0.308222148,4,5,0.291777852,0.45,2,2,19,0.232487694,-0.3333333,0.9,0.68,0.691777852,1,0.691777852,-0.5789474,0.708222148,0.55,0.708222148,2,2,0.708222148,0.55
79,11,221.1707544,1021.019752,0.197506041,0.4117647,10,3,240,882,0.208979717,N,0.208979717,5,7,0.291020283,0.15,2,2,17,0.197506041,0.4117647,1,0.7,0.791020283,1,0.791020283,0.01960784,0.708979717,0.85,0.708979717,2,2,0.708979717,0.85
80,11,291.2843517,1111.744934,0.219788751,0.8333333,10,4.1,489,762,0.3583721,N,0.3583721,7,7,0.0583721,0.1,2,1,16,0.219788751,0.8333333,1,0.59,0.6416279,1,0.6416279,-0.28125,0.9416279,0.9,0.9416279,2,1,0.9416279,0.9
81,11,240.310802,1553.422524,0.145202373,-0.3333333,9,3.5,826,1071,0.325245771,N,0.325245771,4,7,0.274754229,0.1,2,1,12,0.145202373,-0.3333333,0.9,0.65,0.674754229,1,0.674754229,0.4791667,0.725245771,0.9,0.725245771,2,1,0.725245771,0.9
