Participant,Age,IPT,TotalTime,avgPlanall,PlanAccGam,SAT,RankDiffall,Pred4Time,Pred9Time,AvgPredAcc,MonFail,PrAccNFail,CJT,CJP,RefTimeAcc,RefPuzzAcc,StratUsed,StratImp,PuzzAcc,Plan1,Plan2,Plan3,Plan4,MonCon1,MonCon2,MonCon3,MonCon4,Eval1,Eval2,Eval3,Know1,Know2,Evalb,Evalc
3,16,309.5386076,1104.020256,0.233898227,0.75,7,4.7,547,802,7.1819724,Y,0.301411482,7,8,6.8819724,0.1,2,2,18,0.233898227,0.75,0.7,0.53,-0.006181972,0.9,0.698588518,0,-0.005881972,0.9,0.998588518,2,2,0.005881972,0.9
4,16,109.39086,528.2742766,0.185517399,0.3333333,8,5.3,565,733,0.576915819,N,0.576915819,4,8,0.023084181,0,2,1,16,0.185517399,0.3333333,0.8,0.47,0.423084181,1,0.423084181,0.46875,0.976915819,1,0.976915819,2,1,0.976915819,1
5,16,175.3029084,724.4614538,0.209293695,-0.3333333,6,3.15,490,620,0.377653828,N,0.377653828,7,8,0.077653828,0.15,1,1,19,0.209293695,-0.3333333,0.6,0.685,0.622346172,1,0.622346172,0.4736842,0.922346172,0.85,0.922346172,1,1,0.922346172,0.85
6,17,252.2994638,873.9648489,0.240010977,0.3333333,7,4.65,370,600,0.293911626,N,0.293911626,6,4,0.106088374,0.55,2,1,19,0.240010977,0.3333333,0.7,0.535,0.706088374,1,0.706088374,-0.4736842,0.893911626,0.45,0.893911626,2,1,0.893911626,0.45
7,15,157.2382928,664.2659948,0.202520259,0.03703704,7,3.55,355,485,0.27783369,N,0.27783369,6,7,0.12216631,0.05,2,2,15,0.202520259,0.03703704,0.7,0.645,0.72216631,1,0.72216631,-0.0666667,0.87783369,0.95,0.87783369,2,2,0.87783369,0.95
8,16,252.5735841,1265.320635,0.181564475,0.3333333,10,4.5,562,923,0.347251667,N,0.347251667,6,7,0.052748333,0.1,2,1,16,0.181564475,0.3333333,1,0.55,0.652748333,1,0.652748333,-0.5625,0.947251667,0.9,0.947251667,2,1,0.947251667,0.9
9,17,239.950933,807.1592672,0.241069058,-0.1111111,7,3.75,375,685,0.27968167,N,0.27968167,5,9,0.22031833,0.05,2,1,19,0.241069058,-0.1111111,0.7,0.625,0.72031833,1,0.72031833,-0.7894737,0.77968167,0.95,0.77968167,2,1,0.77968167,0.95
10,17,248.3539166,984.1497395,0.215316047,0.1111111,7,3.9,432,785,0.225357908,N,0.225357908,7,9,0.074642092,0.05,2,2,19,0.215316047,0.1111111,0.7,0.61,0.774642092,1,0.774642092,-0.2631579,0.925357908,0.95,0.925357908,2,2,0.925357908,0.95
11,17,135.1342329,1243.228293,0.102418482,-0.9047619,0,9.1,1200,1200,0.481988211,N,0.481988211,5,5,0.018011789,0.35,1,0,17,0.102418482,-0.9047619,0,0.09,0.518011789,1,0.518011789,0.5686275,0.981988211,0.65,0.981988211,1,0,0.981988211,0.65
12,17,232.1190777,856.8502468,0.22589095,0,10,3.85,347,700,0.377495541,N,0.377495541,1,6,0.522504459,0.3,2,0,18,0.22589095,0,1,0.615,0.622504459,1,0.622504459,-0.6111111,0.477495541,0.7,0.477495541,2,0,0.477495541,0.7
13,16,167.691616,1017.068882,0.152208824,1,7,4.15,494,662,0.365923338,N,0.365923338,3,7,0.334076662,0.25,2,1,19,0.152208824,1,0.7,0.585,0.634076662,1,0.634076662,-1,0.665923338,0.75,0.665923338,2,1,0.665923338,0.75
17,12,499.7450262,704.4462397,0.391203826,-0.25,3,5.3,465,570,0.335450214,N,0.335450214,7,10,0.035450214,0.4,2,2,12,0.391203826,-0.25,0.3,0.47,0.664549786,1,0.664549786,0.5208333,0.964549786,0.6,0.964549786,2,2,0.964549786,0.6
18,13,242.5796813,1451.393177,0.153626839,-0.375,4,4.8,866,968,0.26990667,N,0.26990667,5,5,0.23009333,0.4,2,1,18,0.153626839,-0.375,0.4,0.52,0.73009333,1,0.73009333,-0.4444444,0.76990667,0.6,0.76990667,2,1,0.76990667,0.6
19,13,242.939921,1423.639138,0.160759903,0.3333333,9,5.65,607,1113,0.302541955,N,0.302541955,3,4,0.397458045,0.15,0,0,11,0.160759903,0.3333333,0.9,0.435,0.697458045,1,0.697458045,0.3939394,0.602541955,0.85,0.602541955,0,0,0.602541955,0.85
22,16,162.9038736,933.0802762,0.171250128,0.2173913,8,4.75,384,554,0.439836658,N,0.439836658,4,4,0.160163342,0.4,2,1,16,0.171250128,0.2173913,0.8,0.525,0.560163342,1,0.560163342,0.28125,0.839836658,0.6,0.839836658,2,1,0.839836658,0.6
23,16,160.4571011,1070.09871,0.140876045,-0.1428571,9,4.85,395,627,0.326042498,N,0.326042498,6,8,0.073957502,0.05,2,2,17,0.140876045,-0.1428571,0.9,0.515,0.673957502,1,0.673957502,0.372549,0.926042498,0.95,0.926042498,2,2,0.926042498,0.95
24,16,193.9938154,950.8073732,0.179816784,0.5833333,8,4.65,427,925,0.316502091,N,0.316502091,3,3,0.383497909,0.4,2,1,14,0.179816784,0.5833333,0.8,0.535,0.683497909,1,0.683497909,0.2142857,0.616502091,0.6,0.616502091,2,1,0.616502091,0.6
25,14,204.9059996,582.5719995,0.27171204,-0.04761905,7,5.1,262,386,3.18420296,Y,0.324503306,9,8,3.08420296,0.05,2,1,17,0.27171204,-0.04761905,0.7,0.49,-0.002184203,0.9,0.675496694,-0.1764706,-0.002084203,0.95,0.775496694,2,1,0.002084203,0.95
26,13,961.9730005,929.3050008,0.475019307,-0.25,7,5.65,236,484,15.5914508,Y,0.330401043,3,7,14.8914508,0.2,2,1,18,0.475019307,-0.25,0.7,0.435,-0.014591451,0.75,0.669598957,-0.3333333,-0.013891451,0.8,0.630401043,2,1,0.013891451,0.8
27,15,281.516999,512.1029999,0.367587262,-0.7777777,8,4.55,201,298,0.182818883,N,0.182818883,7,8,0.117181117,0.15,2,0,19,0.367587262,-0.7777777,0.8,0.545,0.817181117,1,0.817181117,-1,0.882818883,0.85,0.882818883,2,0,0.882818883,0.85
30,10,198.387977,1421.377546,0.143694274,0.1034483,8,4.9,601,963,0.784350359,N,0.784350359,4,1,0.184350359,0.25,0,0,7,0.143694274,0.1034483,0.8,0.51,0.215649641,1,0.215649641,0.1428571,0.815649641,0.75,0.815649641,0,0,0.815649641,0.75
31,11,307.226581,1153.360633,0.226618672,0.75,10,2.8,340,693,0.384913718,N,0.384913718,7,7,0.084913718,0.2,2,2,18,0.226618672,0.75,1,0.72,0.615086282,1,0.615086282,-1,0.915086282,0.8,0.915086282,2,2,0.915086282,0.8
32,10,425.1141862,1917.251729,0.195914086,0.2380952,8,3.9,998,1150,0.241380456,N,0.241380456,8,6,0.041380456,0.25,2,1,7,0.195914086,0.2380952,0.8,0.61,0.758619544,1,0.758619544,1,0.958619544,0.75,0.958619544,2,1,0.958619544,0.75
34,12,507.5839842,1324.302153,0.291048598,0.4285714,10,3.25,423,900,0.277432197,N,0.277432197,6,7,0.122567803,0.15,2,2,17,0.291048598,0.4285714,1,0.675,0.722567803,1,0.722567803,-0.7647059,0.877432197,0.85,0.877432197,2,2,0.877432197,0.85
35,10,280.2011578,899.7859375,0.244671194,0.09677419,10,3.05,679,1071,0.529994637,N,0.529994637,9,10,0.429994637,0.45,2,2,11,0.244671194,0.09677419,1,0.695,0.470005363,1,0.470005363,-0.0505051,0.570005363,0.55,0.570005363,2,2,0.570005363,0.55
36,10,203.6657372,1021.032743,0.176215751,0.7419355,10,2.95,604,875,0.396992779,N,0.396992779,5,7,0.103007221,0.05,2,1,13,0.176215751,0.7419355,1,0.705,0.603007221,1,0.603007221,0.07692308,0.896992779,0.95,0.896992779,2,1,0.896992779,0.95
37,10,313.0398283,1477.015069,0.171788394,1,8,5.55,954,1060,0.310596673,N,0.310596673,4,5,0.289403327,0.3,2,1,16,0.171788394,1,0.8,0.445,0.689403327,1,0.689403327,0.5625,0.710596673,0.7,0.710596673,2,1,0.710596673,0.7
38,10,228.6181651,1212.430184,0.16990058,0.9166666,10,3.75,623,962,0.35967133,N,0.35967133,9,8,0.25967133,0,2,1,16,0.16990058,0.9166666,1,0.625,0.64032867,1,0.64032867,0.1875,0.74032867,1,0.74032867,2,1,0.74032867,1
39,10,278.4855394,1568.007408,0.155625854,-0.3043478,9,3.5,907,1135,0.302300097,N,0.302300097,8,7,0.102300097,0.15,2,1,11,0.155625854,-0.3043478,0.9,0.65,0.697699903,1,0.697699903,0.8181818,0.897699903,0.85,0.897699903,2,1,0.897699903,0.85
40,10,396.5625237,1648.401319,0.194652948,0.6470588,6,5.55,956,944,0.660703938,N,0.660703938,5,8,0.160703938,0.3,2,1,10,0.194652948,0.6470588,0.6,0.445,0.339296062,1,0.339296062,0.22,0.839296062,0.7,0.839296062,2,1,0.839296062,0.7
41,10,306.403385,960.5063831,0.263605887,-0.125,7,5.2,849,1052,0.513844862,N,0.513844862,1,3,0.386155138,0.1,2,1,8,0.263605887,-0.125,0.7,0.48,0.486155138,1,0.486155138,-0.6666667,0.613844862,0.9,0.613844862,2,1,0.613844862,0.9
42,10,299.2985531,1064.663528,0.236979384,0.5555555,10,2.55,350,926,0.298575574,N,0.298575574,7,10,0.001424426,0.05,2,2,19,0.236979384,0.5555555,1,0.745,0.701424426,1,0.701424426,-0.5789474,0.998575574,0.95,0.998575574,2,2,0.998575574,0.95
43,10,191.3733973,1177.119381,0.150882377,0.2,5,6.1,952,1187,0.473507777,N,0.473507777,6,4,0.073507777,0.35,2,1,15,0.150882377,0.2,0.5,0.39,0.526492223,1,0.526492223,0.7066667,0.926492223,0.65,0.926492223,2,1,0.926492223,0.65
44,10,463.153477,1431.053491,0.266248315,0.3793103,8,4.65,601,885,0.295412837,N,0.295412837,5,9,0.204587163,0.25,2,1,13,0.266248315,0.3793103,0.8,0.535,0.704587163,1,0.704587163,-0.1868132,0.795412837,0.75,0.795412837,2,1,0.795412837,0.75
45,10,381.6925613,990.2024553,0.289501614,1,9,4.3,264,615,0.462691387,N,0.462691387,6,7,0.062691387,0.25,2,1,19,0.289501614,1,0.9,0.57,0.537308613,1,0.537308613,-0.8947368,0.937308613,0.75,0.937308613,2,1,0.937308613,0.75
46,11,468.3162972,1794.589024,0.212008821,-0.1764706,5,5.7,1009,1200,0.206028718,N,0.206028718,6,8,0.193971282,0.3,2,1,10,0.212008821,-0.1764706,0.5,0.43,0.793971282,1,0.793971282,1,0.806028718,0.7,0.806028718,2,1,0.806028718,0.7
47,10,365.7404664,1280.5603,0.238216362,-0.04,9,4,550,751,7.7144682,Y,0.311188431,4,8,7.1144682,0.05,2,1,15,0.238216362,-0.04,0.9,0.6,-0.006714468,0.9,0.688811569,-0.28,-0.006114468,0.95,0.711188431,2,1,0.006114468,0.95
