Participant,avgPlan1,avgPlan2,avgPlanall,SAT,Pred4Time,Pred9Time,RankDiff1,RankDiff2,RankDiffall,avgSD1,avgSD2,avgSD4,avgSD9,avgSDall,AvgFHalf,AvgSHalf,Avg4,Avg9,TotalAvg,PuzzScor1,PuzzScor2,PuzzAcc,Clicks1,Clicks2,ClicksAll,NoWrinTime,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,Strategy,Improve
56,0.275469719,0.247903111,0.261686415,0.6,0.286666667,0.433333333,0.2,0.163157895,0.818421053,0.045750446,0.153328811,0.038177647,0.16090161,0.099539628,0.329787103,0.114953489,0.259764329,0.184976263,0.777629704,1,1,1,0.154,0.204,0.821,1,0.7,0.7,0.9,0.7,1,1
57,0.225917192,0.256953178,0.241435185,0.7,0.425,0.675,0.136842105,0.2,0.831578947,0.075061037,0.217390114,0.059611804,0.232839348,0.146225576,0.25177501,0.155619175,0.253126716,0.154267468,0.796302908,0.8,1,0.9,0.318,0.282,0.7,0.95,0.7,0.7,0.9,0.8,1,1
58,0.182281667,0.171019614,0.176650641,0.8,0.324166667,0.455,0.236842105,0.289473684,0.736842105,0.069296821,0.1689833,0.055319827,0.182960294,0.11914006,0.417588747,0.254338212,0.385782437,0.286144522,0.66403652,0.8,0.7,0.75,0.318,0.232,0.725,0.75,0.7,1,1,0.75,1,1
59,0.121786881,0.090648164,0.106217523,0.3,0.864166667,0.95,0.315789474,0.231578947,0.726315789,0.098304763,0.307634369,0.086864869,0.319074263,0.202969566,0.333575423,0.190366532,0.410330682,0.113611272,0.738029023,0.6,0.5,0.55,0.312,0.388,0.65,1,0.7,0.5,1,0.95,1,1
60,0.194265718,0.184843883,0.189554801,0.6,0.2975,0.589166667,0.047368421,0.173684211,0.889473684,0.068133456,0.192278728,0.049281777,0.211130406,0.130206092,0.212790096,0.122531741,0.174085428,0.161236409,0.832339082,0.9,1,0.95,0.268,0.242,0.745,0.95,0.9,1,0.9,0.95,1,1
61,0.266064381,0.263179194,0.264621788,0.8,0.2875,0.4475,0.111842105,0.178947368,0.850877193,0.065022797,0.151428891,0.049291946,0.167159742,0.108225844,0.217560607,0.215785828,0.228352795,0.204796442,0.783425382,0.9,0.7,0.8,0.2,0.286,0.757,0.8,0.6,0.8,0.8,1,1,1
62,0.278462268,0.186368578,0.232415423,0.7,0.230833333,0.370833333,0.163157895,0.221052632,0.807894737,0.055147028,0.122272675,0.04488595,0.132533754,0.088709852,0.285174654,0.239545378,0.238193576,0.286526456,0.737639984,0.9,0.9,0.9,0.21,0.258,0.766,0.9,0.5,0.6,0.8,0.7,1,1
63,0.249454536,0.258545404,0.25399997,0.7,0.301666667,0.553333333,0.068421053,0.168421053,0.881578947,0.075355662,0.189243168,0.05530395,0.20929488,0.132299415,0.244038149,0.191588869,0.142368376,0.293258643,0.782186491,0.9,1,0.95,0.206,0.234,0.78,0.95,0.7,0.7,0.9,0.75,1,0.5
64,0.164311661,0.148028536,0.156170098,0.8,0.616666667,0.795,0.242105263,0.252631579,0.752631579,0.099550685,0.267051022,0.096242503,0.270359204,0.183300853,0.290402661,0.219120484,0.274087186,0.235435959,0.745238427,0.6,0.8,0.7,0.366,0.242,0.696,0.8,0.5,0.8,0.8,0.9,1,0.5
65,0.203934755,0.142018478,0.172976617,0.8,0.414166667,0.6775,0.147368421,0.184210526,0.834210526,0.080961945,0.20672286,0.077819385,0.209865419,0.143842402,0.245368551,0.163414391,0.21547063,0.193312312,0.795608529,0.9,1,0.95,0.214,0.236,0.775,0.95,0.7,0.9,0.9,0.95,1,1
66,0.316670113,0.217574619,0.267122366,0.6,0.3625,0.486666667,0.221052632,0.178947368,0.8,0.103021172,0.213034806,0.087940575,0.228115403,0.158027989,0.291843812,0.26235825,0.294999909,0.255575301,0.723674905,1,1,1,0.228,0.288,0.742,1,0.6,0.8,0.9,0.8,1,1
67,0.340814018,0.215998966,0.278406492,0.7,0.2475,0.4725,0.057894737,0.136842105,0.902631579,0.090976252,0.172625363,0.079472199,0.184129415,0.131800807,0.149477545,0.138647488,0.132128856,0.155996177,0.855937483,1,1,1,0.174,0.2,0.813,1,0.6,0.5,0.7,0.5,1,0
68,0.200875058,0.180452939,0.190663999,0.6,0.335,0.645,0.084210526,0.194736842,0.860526316,0.068831519,0.203340143,0.048577494,0.223594168,0.136085831,0.291781446,0.239929902,0.234253399,0.297457948,0.734144326,0.9,1,0.95,0.182,0.198,0.81,1,0.5,0.9,0.8,0.95,1,0.5
69,0.348996852,0.299499611,0.324248231,0.6,0.204166667,0.315,0.126315789,0.205263158,0.834210526,0.036613371,0.10655541,0.027858576,0.115310205,0.07158439,0.313115989,0.170433327,0.282640292,0.185055396,0.766152156,0.8,1,0.9,0.158,0.184,0.829,0.9,0.6,1,0.8,0.9,1,1
70,0.289940494,0.169045457,0.229492975,0.9,0.210833333,0.376666667,0.236842105,0.194736842,0.784210526,0.036018356,0.13077299,0.036031113,0.130760233,0.083395673,0.49024537,0.253229059,0.373728273,0.369746156,0.628262786,1,1,1,0.168,0.2,0.816,1,0.4,0.5,0.8,0.5,1,0.5
71,0.283941126,0.248723183,0.266332155,0.8,0.131666667,0.2225,0.084210526,0.136842105,0.889473684,0.01616907,0.064106558,0.016427082,0.063848546,0.040137814,0.170732649,0.12326034,0.101474284,0.192518705,0.853003506,1,1,1,0.154,0.18,0.833,1,0.9,0.9,1,0.9,1,1
72,0.12856257,0.145816447,0.137189509,0.6,0.358333333,0.544166667,0.284210526,0.194736842,0.760526316,0.066027684,0.20026367,0.05982488,0.206466475,0.133145677,0.434374117,0.252406758,0.348240026,0.318322254,0.66671886,0.8,1,0.9,0.244,0.234,0.761,0.95,0.6,0.7,0.9,0.8,1,1
73,0.589668742,0.204437237,0.397052989,0.7,0.325833333,0.430833333,0.231578947,0.205263158,0.781578947,0.05714757,0.149980206,0.061380891,0.145746885,0.103563888,0.357221091,0.253859355,0.35970792,0.251372526,0.694459777,1,0.9,0.95,0.176,0.192,0.816,0.95,0.6,0.9,0.9,0.95,1,1
74,0.376889929,0.279306629,0.328098279,0.6,0.2175,0.396666667,0.084210526,0.2,0.857894737,0.037376923,0.145001096,0.034878262,0.147499757,0.09118901,0.39570027,0.272301678,0.346049553,0.321952395,0.665999026,0.8,0.9,0.85,0.146,0.192,0.831,0.85,0.5,0.4,0.8,0.55,0,0
75,0.23701689,0.180523234,0.208770062,0.8,0.326666667,0.505,0.136842105,0.215789474,0.823684211,0.083536468,0.162063448,0.048043583,0.197556333,0.122799958,0.279451804,0.324123192,0.289036031,0.314538966,0.698212502,0.9,0.9,0.9,0.144,0.186,0.835,0.9,0.7,0.9,1,1,1,0.5
76,0.160704115,0.186799927,0.173752021,0.8,0.239166667,0.553333333,0.126315789,0.231578947,0.821052632,0.051078118,0.18144688,0.040577456,0.191947543,0.116262499,0.250682156,0.298367953,0.271032452,0.278017657,0.725474945,0.7,0.7,0.7,0.394,0.444,0.581,0.7,0.8,1,0.9,0.7,1,0.5
77,0.306876637,0.24572777,0.276302204,0.8,0.195833333,0.429166667,0.052631579,0.152631579,0.897368421,0.044169531,0.15159261,0.031924696,0.163837445,0.097881071,0.261544083,0.217406336,0.200437393,0.278513026,0.76052479,1,1,1,0.158,0.198,0.822,1,0.8,0.6,1,0.6,1,1
