avgPlanall,SAT,RankDiffall,AvgPredAcc,PuzzAcc,RefTimeAcc,RefPuzzAcc
0.18,10,0.825,0.69,20,0.91,0.7
0.21,6,0.7835,0.7,20,0.9,1
0.22,6,0.78,0.82,20,0.98,1
0.15,6,0.665,0.65,19,0.95,0.75
0.16,5,0.7575,0.6,19,0.9,0.65
0.21,8,0.7675,0.65,19,0.95,0.95
0.22,6,0.75,0.66,18,0.54,0.8
0.14,9,0.8175,0.12,13,0.72,0.85
0.19,7,0.7975,0.72,20,0.88,0.9
0.26,6,0.75,0.78,20,0.92,0.7
0.24,7,0.7625,0.8,18,0.9,0.8
0.18,8,0.6875,0.66,15,0.96,0.75
0.11,3,0.7025,0.74,11,0.96,0.95
0.19,6,0.8225,0.83,19,0.93,0.95
0.26,8,0.7915,0.78,16,0.82,1
0.23,7,0.77,0.74,18,0.76,0.7
0.25,7,0.815,0.78,19,0.92,0.75
0.16,8,0.6975,0.75,14,0.75,0.9
0.17,8,0.82,0.8,19,0.9,0.95
0.27,6,0.7475,0.72,20,0.88,0.8
0.28,7,0.815,0.86,20,0.74,0.5
0.19,6,0.785,0.73,19,0.77,0.95
0.32,6,0.77,0.77,18,0.83,0.9
0.23,9,0.7925,0.63,20,0.77,0.5
0.27,8,0.8425,0.85,20,0.95,0.9
0.14,6,0.8,0.67,18,0.93,0.8
0.4,7,0.79,0.69,19,0.91,0.95
0.33,6,0.7825,0.67,17,0.83,0.55
0.21,8,0.785,0.7,18,1,1
0.17,8,0.7775,0.73,14,0.93,0.7
0.28,8,0.83,0.76,20,0.96,0.6
